i,val_rmse,val_r2,train_rmse,gap,model__l2_regularization,model__learning_rate,model__max_bins,model__max_depth,model__max_iter,model__max_leaf_nodes,model__min_samples_leaf
2065,0.20956802903062355,0.2217739750185983,0.18856060193856758,0.02100742709205597,1.0,0.03,255,3.0,400,31,10
2077,0.20956802903062355,0.2217739750185983,0.18856060193856758,0.02100742709205597,1.0,0.03,255,3.0,800,63,10
2068,0.20956802903062355,0.2217739750185983,0.18856060193856758,0.02100742709205597,1.0,0.03,255,3.0,400,63,10
2287,0.20957533236253578,0.22171973256543964,0.1905773476501435,0.01899798471239228,1.0,0.05,255,3.0,800,15,10
2278,0.20957533236253578,0.22171973256543964,0.1905773476501435,0.01899798471239228,1.0,0.05,255,3.0,400,15,10
2281,0.20957533236253578,0.22171973256543964,0.1905773476501435,0.01899798471239228,1.0,0.05,255,3.0,400,31,10
2284,0.20957533236253578,0.22171973256543964,0.1905773476501435,0.01899798471239228,1.0,0.05,255,3.0,400,63,10
2290,0.20957533236253578,0.22171973256543964,0.1905773476501435,0.01899798471239228,1.0,0.05,255,3.0,800,31,10
2293,0.20957533236253578,0.22171973256543964,0.1905773476501435,0.01899798471239228,1.0,0.05,255,3.0,800,63,10
764,0.20961948892903134,0.2213917378115452,0.17821476174185638,0.03140472718717496,0.0,0.1,255,3.0,200,63,20
779,0.20961948892903134,0.2213917378115452,0.17821476174185638,0.03140472718717496,0.0,0.1,255,3.0,800,31,20
776,0.20961948892903134,0.2213917378115452,0.17821476174185638,0.03140472718717496,0.0,0.1,255,3.0,800,15,20
782,0.20961948892903134,0.2213917378115452,0.17821476174185638,0.03140472718717496,0.0,0.1,255,3.0,800,63,20
758,0.20961948892903134,0.2213917378115452,0.17821476174185638,0.03140472718717496,0.0,0.1,255,3.0,200,15,20
761,0.20961948892903134,0.2213917378115452,0.17821476174185638,0.03140472718717496,0.0,0.1,255,3.0,200,31,20
770,0.20961948892903134,0.2213917378115452,0.17821476174185638,0.03140472718717496,0.0,0.1,255,3.0,400,31,20
773,0.20961948892903134,0.2213917378115452,0.17821476174185638,0.03140472718717496,0.0,0.1,255,3.0,400,63,20
767,0.20961948892903134,0.2213917378115452,0.17821476174185638,0.03140472718717496,0.0,0.1,255,3.0,400,15,20
1096,0.20976177913275998,0.22033433679881353,0.18681776612116885,0.02294401301159113,0.1,0.03,128,3.0,400,63,10
1093,0.20976177913275998,0.22033433679881353,0.18681776612116885,0.02294401301159113,0.1,0.03,128,3.0,400,31,10
1090,0.20976177913275998,0.22033433679881353,0.18681776612116885,0.02294401301159113,0.1,0.03,128,3.0,400,15,10
1858,0.20999203986302553,0.21862168046068775,0.1950745022954676,0.014917537567557926,1.0,0.01,255,3.0,800,31,10
1861,0.20999203986302553,0.21862168046068775,0.1950745022954676,0.014917537567557926,1.0,0.01,255,3.0,800,63,10
1855,0.20999203986302553,0.21862168046068775,0.1950745022954676,0.014917537567557926,1.0,0.01,255,3.0,800,15,10
1301,0.2100425907935875,0.21824543614683445,0.19098480743558072,0.019057783358006786,0.1,0.05,128,3.0,200,31,20
1298,0.2100425907935875,0.21824543614683445,0.19098480743558072,0.019057783358006786,0.1,0.05,128,3.0,200,15,20
1304,0.2100425907935875,0.21824543614683445,0.19098480743558072,0.019057783358006786,0.1,0.05,128,3.0,200,63,20
565,0.21016524150956464,0.21733218563753198,0.18016080187918193,0.030004439630382712,0.0,0.05,255,3.0,800,63,10
562,0.21016524150956464,0.21733218563753198,0.18016080187918193,0.030004439630382712,0.0,0.05,255,3.0,800,31,10
553,0.21016524150956464,0.21733218563753198,0.18016080187918193,0.030004439630382712,0.0,0.05,255,3.0,400,31,10
