i,val_rmse,val_r2,train_rmse,train_r2,gap_rmse,model__l2_regularization,model__learning_rate,model__max_bins,model__max_depth,model__max_iter,model__max_leaf_nodes,model__min_samples_leaf
2564,0.16725182187740778,0.5043245531219698,0.07143544305664822,0.9088253992175556,0.09581637882075957,1.0,0.1,255,7.0,800,63,20
247,0.16728648296273,0.5041190853547075,0.12596699315689508,0.7164955300231042,0.041319489805834914,0.0,0.03,128,5.0,200,31,10
2042,0.16740232665169552,0.5034320655397996,0.06283186773058648,0.9294647314079962,0.10457045892110904,1.0,0.03,128,,400,63,20
2051,0.16740232665169552,0.5034320655397996,0.06283186773058648,0.9294647314079962,0.10457045892110904,1.0,0.03,128,,800,63,20
2582,0.16753711065586177,0.5026321201627003,0.05731728618150853,0.941302767653236,0.11021982447435325,1.0,0.1,255,,400,63,20
2591,0.16753711065586177,0.5026321201627003,0.05731728618150853,0.941302767653236,0.11021982447435325,1.0,0.1,255,,800,63,20
2573,0.16753711065586177,0.5026321201627003,0.05731728618150853,0.941302767653236,0.11021982447435325,1.0,0.1,255,,200,63,20
2002,0.16766474345894736,0.5018740238018384,0.11493899416142372,0.7639624111477897,0.05272574929752363,1.0,0.03,128,7.0,200,31,10
2087,0.1676740964635846,0.5018184473649889,0.1280444913700286,0.7070670779748127,0.03962960509355601,1.0,0.03,255,5.0,200,63,20
2137,0.16770352453463178,0.5016435627650326,0.11099556966264892,0.7798809275890758,0.05670795487198285,1.0,0.03,255,,200,31,10
1781,0.16775690141277025,0.5013262773156462,0.12294425694909367,0.729938374037866,0.04481264446367658,1.0,0.01,128,5.0,800,63,20
1985,0.1677669510407138,0.5012665285310088,0.12268281198159554,0.7310857424717212,0.04508413905911825,1.0,0.03,128,5.0,400,31,20
1994,0.1677669510407138,0.5012665285310088,0.12268281198159554,0.7310857424717212,0.04508413905911825,1.0,0.03,128,5.0,800,31,20
279,0.16791517265586364,0.5003848800820688,0.10345230196592226,0.8087829108821738,0.06446287068994139,0.0,0.03,128,7.0,200,63,50
80,0.1680058179260995,0.49984532227280265,0.09064903687204351,0.8531842076152792,0.077356781054056,0.0,0.01,128,7.0,800,63,20
2086,0.1680602863452441,0.4995209638539502,0.12720479517717911,0.7108964988997064,0.04085549116806497,1.0,0.03,255,5.0,200,63,10
216,0.16815303719675143,0.4989683923082321,0.07333284018116047,0.9039176987622136,0.09482019701559095,0.0,0.01,255,,800,63,50
943,0.16821458427942737,0.4986015517473381,0.08275959825167138,0.8776276972182903,0.08545498602775599,0.1,0.01,128,7.0,800,63,10
1782,0.16834456391159155,0.4978263898880233,0.1293456745128166,0.7010832821955773,0.038998889398774966,1.0,0.01,128,5.0,800,63,50
1779,0.16834456391159155,0.4978263898880233,0.1293456745128166,0.7010832821955773,0.038998889398774966,1.0,0.01,128,5.0,800,31,50
1244,0.1684369631219464,0.49727498296577566,0.14028045072620066,0.6484066192120213,0.028156512395745736,0.1,0.03,255,7.0,200,15,20
1912,0.16849336204554408,0.4969382647521219,0.10586246980089747,0.7997694090823113,0.0626308922446466,1.0,0.01,255,7.0,800,31,10
2456,0.16856140325857188,0.4965318886021701,0.07180133400909947,0.9078890182104202,0.09676006924947242,1.0,0.1,128,7.0,800,63,20
2438,0.16856140325857188,0.4965318886021701,0.07180133400909947,0.9078890182104202,0.09676006924947242,1.0,0.1,128,7.0,200,63,20
2447,0.16856140325857188,0.4965318886021701,0.07180133400909947,0.9078890182104202,0.09676006924947242,1.0,0.1,128,7.0,400,63,20
299,0.16857314457169506,0.49646174700972245,0.14114245635091388,0.6440723495330223,0.02743068822078118,0.0,0.03,128,,200,15,20
245,0.16857579045738977,0.49644594004213594,0.14207235299559343,0.6393669443700273,0.026503437461796342,0.0,0.03,128,5.0,200,15,20
1218,0.16860487899390492,0.4962721438596497,0.14240504640525453,0.6376759648326851,0.026199832588650385,0.1,0.03,255,5.0,200,15,50
1169,0.16871589284591268,0.49560859035094285,0.07960165891439364,0.8867884797519806,0.08911423393151904,0.1,0.03,128,,200,63,20
1944,0.16874876943616193,0.495411996122621,0.07307714912482688,0.9045865547684839,0.09567162031133505,1.0,0.01,255,,800,63,50
2114,0.16890157692234894,0.49449774074581976,0.09394343457423461,0.8423190408655872,0.07495814234811433,1.0,0.03,255,7.0,200,63,20
1975,0.16891619841304456,0.494410216204771,0.1265456370419891,0.713884926867322,0.042370561371055465,1.0,0.03,128,5.0,200,31,10
2043,0.16897489244313577,0.4940587962944286,0.08079311145277408,0.8833740880989043,0.08818178099036168,1.0,0.03,128,,400,63,50
2052,0.16897489244313577,0.4940587962944286,0.08079311145277408,0.8833740880989043,0.08818178099036168,1.0,0.03,128,,800,63,50
1484,0.16903219509566111,0.49371558922490144,0.07709328246222866,0.8938110174047087,0.09193891263343246,0.1,0.05,255,7.0,800,63,20
1475,0.16903219509566111,0.49371558922490144,0.07709328246222866,0.8938110174047087,0.09193891263343246,0.1,0.05,255,7.0,400,63,20
385,0.16906469706204408,0.49352087104214615,0.08924051452928278,0.8577112656736395,0.0798241825327613,0.0,0.03,255,7.0,200,63,10
